sourcename sourcetype first_login_usertype qudao_type channel_category credit_bin firstchuo edu chuomode message_count_default boappnum biglinetype usertype jdcredit_score umeng_score risk_score pretax final_score td_3m td_1m cmax omax vcard rph rpo rpc query1m hoverdue2y ooverdue2y coverdue2y repaybin citylevel_bin
今日头条大额 app 纯新 APP APP信息流 8 2018-08-03 4无学历 gjj 0 4 APP 2发标未成交 654.9 747 41 missing 35 0 0 NA NA NA NA NA NA NA NA NA NA 1 3线
资产大额秋成科技 app 发标未成交 APP APP贷超 4 2018-08-05 4无学历 wb 0 21 APP 2发标未成交 NA 727 81 0-02k 52 0 15 NA NA NA NA NA NA NA NA NA NA 5 3线
资产大额秋成科技 app 发标未成交 APP APP贷超 1 2018-08-12 4无学历 wb 0 1 APP 2发标未成交 745.79 521 41 02k-05k 15 1 0 NA NA NA NA NA NA NA NA NA NA 2 1线
资产大额秋成科技二 app 发标未成交 APP APP贷超 1 2018-07-22 4无学历 wb 0 10 APP 2发标未成交 746.91 706 35 0-02k 57 0 0 NA NA NA NA NA NA NA NA NA NA 3 4线
资产大额秋成科技二 app 发标未成交 APP APP贷超 2 2018-08-13 4无学历 tb 0 3 APP 2发标未成交 732.74 660 32 0-0 46 0 0 18000 30000 15 0 0 4109 3 0 0 2 4 3线
资产大额秋成科技 app 发标未成交 APP APP贷超 6 2018-08-01 3专科 tb 0 8 APP 2发标未成交 601.64 520 60 missing 58 7 7 NA NA NA NA NA NA NA NA NA NA 2 6线及以下
陌陌信息流大额 app 发标未成交 APP APP信息流 16 2018-07-26 4无学历 tb 0 2 APP 2发标未成交 NA 527 74 missing 42 0 2 NA NA NA NA NA NA NA NA NA NA 3 6线及以下
广点通 app 发标未成交 APP APP信息流 8 2018-07-23 4无学历 tb 0 1 APP 2发标未成交 NA 563 48 0-0 35 2 0 NA NA NA NA NA NA NA NA NA NA 4 3线
广点通 app 发标未成交 APP APP信息流 11 2018-08-02 4无学历 wb 0 1 APP 2发标未成交 628.25 635 22 missing 76 3 3 NA NA NA NA NA NA NA NA NA NA 4 6线及以下
资产大额秋成科技 app 发标未成交 APP APP贷超 6 2018-08-08 4无学历 tb 0 11 APP 2发标未成交 544.55 568 87 missing 37 8 2 NA NA NA NA NA NA NA NA NA NA 4 6线及以下
资产大额秋成科技 app 发标未成交 APP APP贷超 1 2018-08-02 2本科 wb 0 6 APP 2发标未成交 609.6 798 33 08k-15k 27 2 2 -1 -1 -1 -1 4018 45285 -1 0 0 -1 1 5线
广点通 app 发标未成交 APP APP信息流 8 2018-07-16 4无学历 wb 13 0 APP 2发标未成交 653.06 NA 28 missing 4 1 0 NA NA NA NA NA NA NA NA NA NA 2 4线
今日头条大额2 app 纯新 APP APP信息流 9 2018-08-04 4无学历 wb 0 5 APP 5纯新 644.77 603 63 missing 68 6 3 NA NA NA NA NA NA NA NA NA NA 1 4线
大额广点通 app 纯新 APP APP信息流 20 2018-07-14 4无学历 wb 0 2 APP 1戳额无额度 512.35 426 65 02k-05k 75 0 6 NA NA NA NA NA NA NA NA NA NA 3 2线
今日头条大额2 app 发标未成交 APP APP信息流 5 2018-08-02 3专科 gjj 0 22 APP 2发标未成交 518.01 577 70 05k-08k 39 11 1 NA NA NA NA NA NA NA NA NA NA 3 3线
广点通 app 发标未成交 APP APP信息流 5 2018-07-28 4无学历 tb 0 5 APP 2发标未成交 606.88 544 60 missing 75 5 4 NA NA NA NA NA NA NA NA NA NA 5 4线
广点通 app 纯新 APP APP信息流 2 2018-07-31 4无学历 wb 0 2 APP 5纯新 742.53 767 52 08k-15k 22 0 0 55000 22000 6 0 1095 6027 2 0 0 1 3 2线
神马SEM大额 app 发标未成交 APP APP信息流 9 2018-07-24 4无学历 tb 0 16 APP 2发标未成交 642.77 598 94 05k-08k 24 1 0 NA NA NA NA NA NA NA NA NA NA 4 5线
广点通 app 发标未成交 APP APP信息流 16 2018-07-15 4无学历 oth -1 8 APP 2发标未成交 623.74 384 54 missing 48 7 5 NA NA NA NA NA NA NA NA NA NA 5 5线
APP资产大额51卡宝 app 发标未成交 APP APP贷超 -1 2018-07-24 4无学历 xiaoe_m -1 0 M站 2发标未成交 NA 571 38 02k-05k 19 0 0 NA NA NA NA NA NA NA NA NA NA 3 4线
大额广点通1 app 发标未成交 APP APP信息流 7 2018-07-27 4无学历 bb 0 1 APP 2发标未成交 638.15 458 70 02k-05k 8 2 0 NA NA NA NA NA NA NA NA NA NA 5 4线
资产大额秋成科技 app 发标未成交 APP APP贷超 -1 2018-07-26 4无学历 xiaoe_m -1 0 M站 2发标未成交 NA 716 53 missing NA NA NA NA NA NA NA NA NA NA NA NA NA 5 4线
广点通 app 发标未成交 APP APP信息流 -1 2018-08-10 4无学历 xiaoe_m -1 0 M站 2发标未成交 NA NA 36 missing NA NA NA NA NA NA NA NA NA NA NA NA NA 4 6线及以下
APP资产大额51卡宝 app 发标未成交 APP APP贷超 2 2018-08-13 4无学历 bb 0 21 APP 2发标未成交 513.69 682 76 15k-30k 88 0 0 NA NA NA NA NA NA NA NA NA NA 3 1线
大额广点通 app 发标未成交 APP APP信息流 2 2018-07-19 3专科 bb 0 2 APP 2发标未成交 644.97 754 62 02k-05k 27 5 4 NA NA NA NA NA NA NA NA NA NA 1 4线
广点通 app 发标未成交 APP APP信息流 -1 2018-08-10 4无学历 xiaoe_m 14 0 M站 2发标未成交 NA 620 58 missing 72 0 0 NA NA NA NA NA NA NA NA NA NA 4 5线
大额广点通 app 纯新 APP APP信息流 7 2018-07-22 4无学历 gjj 0 1 APP 5纯新 589.77 588 19 05k-08k 27 6 4 NA NA NA NA NA NA NA NA NA NA 2 1线
原点时空大额 app 发标未成交 APP APP信息流 -1 2018-07-21 4无学历 xiaoe_m -1 0 M站 2发标未成交 603.84 376 50 02k-05k 63 18 15 NA NA NA NA NA NA NA NA NA NA 4 5线
大额广点通 app 发标未成交 APP APP信息流 7 2018-07-19 4无学历 wb 0 17 APP 2发标未成交 NA NA 31 0-0 24 0 2 NA NA NA NA NA NA NA NA NA NA 3 5线
今日头条大额 app 发标未成交 APP APP信息流 -1 2018-08-05 4无学历 xiaoe_m -1 0 M站 2发标未成交 634.55 649 41 0-0 14 1 1 NA NA NA NA NA NA NA NA NA NA 5 1线
百融白名单 app 发标未成交 APP APP贷超 -1 2018-08-04 4无学历 xiaoe_m -1 0 M站 2发标未成交 572.79 535 43 missing 75 11 0 NA NA NA NA NA NA NA NA NA NA 5 6线及以下
资产大额秋成科技 app 发标未成交 APP APP贷超 5 2018-07-15 4无学历 wb 0 2 APP 2发标未成交 NA 486 61 0-02k 6 0 0 NA NA NA NA NA NA NA NA NA NA 2 3线
广点通 app 发标未成交 APP APP信息流 12 2018-08-04 4无学历 bb 3 60 APP 2发标未成交 514.6 601 70 02k-05k 8 3 0 NA NA NA NA NA NA NA NA NA NA 5 5线
广点通 app 发标未成交 APP APP信息流 3 2018-07-15 4无学历 wb 0 6 APP 2发标未成交 636.49 676 71 missing 25 4 0 NA NA NA NA NA NA NA NA NA NA 3 5线
今日头条大额 app 发标未成交 APP APP信息流 4 2018-07-14 4无学历 gxb_m -1 0 M站 2发标未成交 NA NA 23 02k-05k 29 2 0 NA NA NA NA NA NA NA NA NA NA NA 5线
粉丝通凯美大额 app 纯新 APP APP信息流 1 2018-07-29 3专科 wb 0 2 APP 5纯新 666 819 20 08k-15k 3 1 1 NA NA NA NA NA NA NA NA NA NA 1 1线
资产大额秋成科技 app 发标未成交 APP APP贷超 1 2018-08-12 2本科 gjj 0 10 APP 2发标未成交 713.8 692 12 08k-15k 75 6 0 NA NA NA NA NA NA NA NA NA NA 1 1线
大额广点通 app 纯新 APP APP信息流 11 2018-07-16 4无学历 tb 4 5 APP 1戳额无额度 606 445 78 02k-05k 68 27 20 NA NA NA NA NA NA NA NA NA NA 3 2线
今日头条大额 app 发标未成交 APP APP信息流 3 2018-07-23 4无学历 wb 0 6 APP 2发标未成交 575.13 345 61 02k-05k 44 0 3 NA NA NA NA NA NA NA NA NA NA 5 6线及以下
神马SEM大额 app 纯新 APP APP信息流 12 2018-08-06 4无学历 tb 0 1 APP 5纯新 634.2 409 61 0-02k 4 1 0 NA NA NA NA NA NA NA NA NA NA 2 6线及以下
广点通 app 发标未成交 APP APP信息流 5 2018-07-23 4无学历 tb 0 5 APP 2发标未成交 640.44 659 60 0-0 38 2 0 NA NA NA NA NA NA NA NA NA NA 3 5线
广点通 app 发标未成交 APP APP信息流 5 2018-07-19 4无学历 tb 0 1 APP 2发标未成交 646.61 561 33 0-02k 32 0 0 18000 3000 15 0 NA 4014 4 0 0 0 2 3线
百融白名单 app 成交 APP APP贷超 3 2018-08-07 4无学历 wb 3 29 APP 2成交 630.65 557 66 0-0 90 0 0 NA NA NA NA NA NA NA NA NA NA 4 4线
百融白名单 app 发标未成交 APP APP贷超 2 2018-08-09 4无学历 tb -1 0 APP 2发标未成交 NA 830 57 missing 72 0 0 NA NA NA NA NA NA NA NA NA NA 3 3线
神马SEM大额 M 发标未成交 APP M站信息流 4 2018-07-31 2本科 gjj 2 2 APP 2发标未成交 599.3 741 77 missing 19 1 1 NA NA NA NA NA NA NA NA NA NA 1 4线
资产大额秋成科技 app 纯新 APP APP贷超 12 2018-07-27 4无学历 wb 0 5 APP 1戳额无额度 NA 383 70 02k-05k 3 0 0 NA NA NA NA NA NA NA NA NA NA 4 2线
今日头条大额2 app 发标未成交 APP APP信息流 16 2018-08-03 4无学历 wb 0 2 APP 2发标未成交 595.2 496 90 missing 36 0 0 NA NA NA NA NA NA NA NA NA NA 3 1线
资产大额秋成科技 app 发标未成交 APP APP贷超 -1 2018-08-04 4无学历 xiaoe_m -1 0 M站 2发标未成交 NA 592 33 02k-05k 46 0 2 NA NA NA NA NA NA NA NA NA NA 5 3线
广点通 app 纯新 APP APP信息流 3 2018-07-29 4无学历 wb 3 5 APP 5纯新 640.68 538 68 02k-05k 45 0 0 NA NA NA NA NA NA NA NA NA NA 1 2线
今日头条大额 app 发标未成交 APP APP信息流 -1 2018-07-20 2本科 xiaoe_m -1 0 M站 2发标未成交 634.78 600 51 missing 53 6 0 NA NA NA NA NA NA NA NA NA NA 2 5线
大额广点通 app 发标未成交 APP APP信息流 1 2018-07-26 4无学历 wb 2 2 APP 2发标未成交 633.25 599 57 02k-05k 24 4 0 NA NA NA NA NA NA NA NA NA NA 2 5线
资产大额秋成科技 app 发标未成交 APP APP贷超 -1 2018-07-27 4无学历 xiaoe_m -1 0 M站 5纯新 NA 672 41 missing NA NA NA 50000 50000 6 0 5168 3233 4 0 0 1 2 5线
资产大额秋成科技二 app 发标未成交 APP APP贷超 14 2018-07-31 4无学历 gjj 0 5 APP 2发标未成交 626.74 353 81 missing 55 0 0 NA NA NA NA NA NA NA NA NA NA 4 6线及以下
原点时空大额 app 发标未成交 APP APP信息流 14 2018-07-17 4无学历 tb 0 2 APP 2发标未成交 595.12 349 78 02k-05k 0 NA NA NA NA NA NA NA NA NA NA NA NA 2 5线
广点通 app 发标未成交 APP APP信息流 1 2018-07-17 4无学历 wb 0 1 APP 2发标未成交 739.68 593 43 02k-05k 24 1 1 120000 180000 16 0 0 26869 4 0 0 0 1 1线
资产大额秋成科技 app 发标未成交 APP APP贷超 -1 2018-07-17 4无学历 xiaoe_m -1 0 M站 2发标未成交 NA 551 56 missing NA NA NA NA NA NA NA NA NA NA NA NA NA 4 6线及以下
资产大额秋成科技 app 发标未成交 APP APP贷超 15 2018-08-09 2本科 wb 0 4 APP 2发标未成交 640.8 479 50 missing 0 0 0 NA NA NA NA NA NA NA NA NA NA 1 3线
