sourcename sourcefeature sourcetype userid first_login_time first_login_usertype chuo_status first_chuo_bin youe_status fb_status cj_status allcj_status
搜狗SEM-MB大额 regsourceid=daesgmb01 app 85658778 2018-06-18 纯新 0 NA 0 0 0 1
资产大额M站九格 regsourceid=zcdaejiuge M 59656027 2018-06-06 成交 1 8 0 0 0 0
广点通 regsourceid=dae016 app 85388817 2018-06-14 纯新 0 NA 0 0 0 0
资产大额M站菠萝贷 regsourceid=zcdaeboluodai M 62765178 2018-05-22 发标未成交 1 13 0 0 0 0
广点通 regsourceid=dae016 app 76463142 2018-05-22 发标未成交 0 NA 0 0 0 0
陌陌信息流大额 regsourceid=dae040 app 22752629 2018-06-23 发标未成交 0 NA 0 0 0 0
今日头条大额 regsourceid=dae260 app 36341340 2018-06-16 发标未成交 0 NA 0 0 0 0
广点通 app_feature=dae183_1052 app 71799514 2018-05-21 发标未成交 0 NA 0 0 0 0
亿玛dsp app_feature=dae139_1052 app 86143542 2018-06-23 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae046 app 83110603 2018-06-09 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 75671349 2018-05-26 发标未成交 0 NA 0 0 0 0
亿玛dsp app_feature=dae134_1052 app 61589035 2018-06-02 成交 0 NA 0 0 0 0
广点通 regsourceid=dae046 app 83881087 2018-06-04 发标未成交 1 10 0 0 0 0
广点通 app_feature=dae183_1052 app 22842372 2018-06-23 发标未成交 1 11 0 0 0 0
百度信息流大额 regsourceid=dae041 app 74489313 2018-05-28 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 25567126 2018-05-15 发标未成交 1 18 0 0 0 0
广点通 regsourceid=dae154 app 85372228 2018-06-14 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 64932127 2018-06-08 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae012 app 85980233 2018-06-22 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae065 app 36299279 2018-06-23 发标未成交 1 2 0 0 0 0
APP资产大额51卡宝 regsourceid=dae116 app 80625643 2018-06-14 发标未成交 1 11 0 0 0 0
广点通 regsourceid=dae016 app 60803230 2018-05-15 成交 1 4 0 0 0 0
广点通 regsourceid=dae012 app 8279626 2018-06-23 发标未成交 0 NA 0 0 0 0
亿玛dsp app_feature=dae135_1052 app 36531803 2018-06-16 发标未成交 0 NA 0 0 0 0
亿玛dsp app_feature=dae134_1052 app 34393916 2018-06-19 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae015 app 83477448 2018-05-22 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae160 app 85750154 2018-06-21 纯新 0 NA 0 0 0 0
亿玛dsp app_feature=dae134_1052 app 56016495 2018-06-17 纯新 1 4 0 0 0 0
广点通 regsourceid=dae012 app 85444817 2018-06-15 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae015 app 81705381 2018-05-24 纯新 0 NA 0 0 0 0
运营短信营销 regsourceid=dae112 app 59058467 2018-06-16 有额未发标 0 NA 0 0 0 0
亿玛dsp app_feature=dae135_1052 app 84597624 2018-06-05 发标未成交 0 NA 0 0 0 1
广点通 regsourceid=dae044 app 80798991 2018-06-23 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae019 app 31748260 2018-05-24 发标未成交 0 NA 0 0 0 0
神马SEM大额 regsourceid=dae042 app 85391334 2018-06-14 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 84152795 2018-06-09 纯新 0 NA 0 0 0 0
亿玛dsp app_feature=dae135_1052 app 85580631 2018-06-17 纯新 0 NA 0 0 0 0
亿玛dsp app_feature=dae133_1052 app 85123212 2018-06-11 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae012 app 49503190 2018-06-11 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae046 app 28240878 2018-05-28 发标未成交 0 NA 0 0 0 0
百度SEM-MB大额 regsourceid=daebaidumb M 66291615 2018-06-04 纯新 0 NA 0 0 0 0
广点通 app_feature=dae183_1052 app 53818961 2018-06-23 发标未成交 0 NA 0 0 0 0
大额优借 regsourceid=dae249 app 7418353 2018-06-10 成交 0 NA 0 0 0 0
亿玛dsp app_feature=dae133_1052 app 85123518 2018-06-11 纯新 0 NA 0 0 0 0
资产大额M站撸米王 regsourceid=zcdaelumiwang M 34758177 2018-06-18 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 76188274 2018-06-03 纯新 0 NA 0 0 0 0
百度信息流大额 regsourceid=dae041 app 85456536 2018-06-15 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae012 app 23156901 2018-06-22 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae012 app 76564852 2018-06-18 发标未成交 0 NA 0 0 0 0
广点通 app_feature=dae183_1052 app 42070076 2018-06-23 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae015 app 83577034 2018-05-21 纯新 0 NA 0 0 0 0
神马SEM大额 regsourceid=dae042 app 85688272 2018-06-18 纯新 0 NA 0 0 0 0
广点通 app_feature=dae181_1052 app 39053717 2018-06-10 发标未成交 0 NA 0 0 0 0
广点通 app_feature=dae183_1052 app 6621555 2018-06-21 成交 0 NA 0 0 0 0
大额亿玛dsp2 regsourceid=dae200 app 86079915 2018-06-23 纯新 0 NA 0 0 0 0
资产大额M站九格 regsourceid=zcdaejiuge M 82788674 2018-06-05 纯新 0 NA 0 0 0 0
神马SEM大额 regsourceid=dae042 app 84858107 2018-06-08 纯新 0 NA 0 0 0 0
陌陌信息流大额 regsourceid=dae040 app 78524396 2018-06-19 纯新 0 NA 0 0 0 0
今日头条大额 regsourceid=dae254 app 56631453 2018-06-19 成交 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 71026756 2018-05-27 戳额无额度 0 NA 0 0 0 0
QQ搜索直达M站大额 regsourceid=daeqqsszd M 82723682 2018-06-09 纯新 0 NA 0 0 0 0
资产大额M站九格 regsourceid=zcdaejiuge M 31733475 2018-06-16 成交 0 NA 0 0 0 0
陌陌信息流大额 regsourceid=dae040 app 79758816 2018-06-21 纯新 0 NA 0 0 0 1
广点通 app_feature=dae181_1052 app 85102393 2018-06-11 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae015 app 35619175 2018-05-22 发标未成交 1 9 0 0 0 0
广点通 regsourceid=dae154 app 69038445 2018-06-16 发标未成交 1 2 0 0 0 1
今日头条大额 regsourceid=dae258 app 29781665 2018-06-17 发标未成交 0 NA 0 0 0 0
神马SEM大额 regsourceid=dae042 app 59835511 2018-06-13 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae061 app 80375577 2018-06-02 纯新 0 NA 0 0 0 0
资产值得借 regsourceid=dae030 app 65676060 2018-05-10 纯新 0 NA 0 0 0 0
亿玛dsp app_feature=dae138_1052 app 33509935 2018-06-22 发标未成交 0 NA 0 0 0 0
陌陌大额59 regsourceid=dae294 app 85519214 2018-06-16 纯新 0 NA 0 0 0 1
广点通 regsourceid=dae015 app 66237001 2018-05-16 发标未成交 1 4 0 0 0 1
今日头条大额 regsourceid=dae216 app 84212504 2018-06-18 纯新 0 NA 0 0 0 0
百度SEM-MB大额 regsourceid=daebaidumb01 app 84791731 2018-06-07 纯新 0 NA 0 0 0 0
神马SEM大额 regsourceid=dae042 app 65107997 2018-06-15 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae044 app 78445396 2018-05-26 发标未成交 0 NA 0 0 0 0
神马SEM大额 regsourceid=dae042 app 85269644 2018-06-18 纯新 0 NA 0 0 0 0
今日头条大额 regsourceid=dae242 app 60914044 2018-06-19 有额未发标 1 1 0 0 0 0
亿玛dsp app_feature=dae135_1052 app 80498911 2018-06-13 纯新 0 NA 0 0 0 0
资产大额淘钱宝二 regsourceid=dae097 app 83301217 2018-05-17 纯新 0 NA 0 0 0 0
陌陌信息流大额 regsourceid=dae040 app 39626871 2018-06-12 纯新 0 NA 0 0 0 0
广点通 app_feature=dae183_1052 app 75024222 2018-06-20 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 84385599 2018-06-05 纯新 0 NA 0 0 0 0
亿玛dsp app_feature=dae135_1052 app 79993802 2018-06-11 纯新 0 NA 0 0 0 0
百度SEM-MB大额 regsourceid=daebaidumb M 61208029 2018-05-20 纯新 0 NA 0 0 0 0
大额钱院 regsourceid=daeqianyuan M 60600994 2018-06-10 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae046 app 39338087 2018-05-21 发标未成交 0 NA 0 0 0 0
亿玛dsp app_feature=dae136_1052 app 85030849 2018-06-11 纯新 0 NA 0 0 0 1
广点通 regsourceid=dae069 app 51330625 2018-06-07 发标未成交 0 NA 0 0 0 0
资产大额M站九格 regsourceid=zcdaejiuge M 76721275 2018-06-07 发标未成交 1 8 0 0 0 1
广点通 regsourceid=dae046 app 69876461 2018-06-11 成交 0 NA 0 0 0 0
今日头条大额 regsourceid=dae258 app 5327461 2018-06-17 发标未成交 0 NA 0 0 0 0
广点通 app_feature=dae182_1052 app 85107608 2018-06-11 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae012 app 85890619 2018-06-21 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae046 app 48552894 2018-06-22 发标未成交 0 NA 0 0 0 0
亿玛dsp app_feature=dae133_1052 app 66014709 2018-06-10 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae015 app 77648214 2018-05-23 发标未成交 0 NA 0 0 0 0
广点通 app_feature=dae184_1052 app 81799092 2018-06-20 发标未成交 0 NA 0 0 0 0
资产大额M站九格 regsourceid=zcdaejiuge M 43953262 2018-05-19 发标未成交 0 NA 0 0 0 0
陌陌信息流大额 regsourceid=dae040 app 62405067 2018-06-12 发标未成交 0 NA 0 0 0 0
资产大额九格网络 regsourceid=dae100 app 83176044 2018-05-15 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 82582162 2018-05-22 发标未成交 0 NA 0 0 0 1
运营短信营销 regsourceid=dae112 app 48855555 2018-06-21 有额未发标 0 NA 0 0 0 1
百度SEM-MB大额 regsourceid=daebaidumb M 84127262 2018-05-29 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 35254070 2018-05-17 发标未成交 0 NA 0 0 0 0
亿玛dsp app_feature=dae139_1052 app 49426703 2018-06-22 纯新 0 NA 0 0 0 0
资产大额M站菠萝贷 regsourceid=zcdaeboluodai M 33591500 2018-05-20 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 84413167 2018-06-02 纯新 0 NA 0 0 0 0
陌陌大额59 regsourceid=dae294 app 29739310 2018-06-17 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 77383233 2018-06-07 纯新 0 NA 0 0 0 0
资产大额M站闪电公积金 regsourceid=zcdaeshandiangongjijin M 35058070 2018-05-21 发标未成交 0 NA 0 0 0 1
亿玛dsp app_feature=dae134_1052 app 85854556 2018-06-20 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae011 app 82840019 2018-05-10 纯新 0 NA 0 0 0 0
今日头条大额 regsourceid=dae257 app 84579475 2018-06-20 发标未成交 0 NA 0 0 0 0
资产大额M站九格 regsourceid=zcdaejiuge M 34773121 2018-06-23 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae012 app 84053543 2018-06-19 发标未成交 0 NA 0 0 0 1
广点通 regsourceid=dae012 app 77275020 2018-06-14 发标未成交 0 NA 0 0 0 0
运营短信营销 regsourceid=dae112 app 69768263 2018-06-09 有额未发标 0 NA 0 0 0 0
广点通 regsourceid=dae012 app 85850164 2018-06-20 纯新 0 NA 0 0 0 0
广点通 app_feature=dae184_1052 app 9098410 2018-06-11 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae015 app 70530520 2018-05-20 发标未成交 0 NA 0 0 0 0
陌陌信息流大额 regsourceid=dae040 app 83649104 2018-06-14 纯新 0 NA 0 0 0 0
APP资产大额还呗 regsourceid=dae129 app 39335915 2018-05-07 有额未发标 0 NA 0 0 0 0
广点通 regsourceid=dae012 app 77066034 2018-06-19 发标未成交 0 NA 0 0 0 0
今日头条大额 regsourceid=dae295 app 84303676 2018-06-21 纯新 0 NA 0 0 0 0
亿玛dsp app_feature=dae133_1052 app 31250798 2018-06-10 纯新 0 NA 0 0 0 0
百度信息流大额 regsourceid=dae041 app 84075818 2018-05-29 纯新 0 NA 0 0 0 1
亿玛dsp app_feature=dae138_1052 app 23321696 2018-06-14 戳额无额度 0 NA 0 0 0 0
广点通 regsourceid=dae046 app 84392989 2018-06-04 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae012 app 85886826 2018-06-22 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae012 app 85187395 2018-06-13 纯新 0 NA 0 0 0 0
陌陌大额59 regsourceid=dae294 app 57548864 2018-06-18 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae012 app 83084665 2018-06-10 发标未成交 0 NA 0 0 0 0
神马SEM大额 regsourceid=daeshenma M 44040809 2018-06-07 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae015 app 78993070 2018-05-16 发标未成交 0 NA 0 0 0 0
广点通 app_feature=dae183_1052 app 82469298 2018-06-11 纯新 0 NA 0 0 0 0
亿玛dsp app_feature=dae135_1052 app 83461606 2018-06-15 戳额无额度 0 NA 0 0 0 0
神马SEM大额 app_feature=dae288_1052 app 85646316 2018-06-19 戳额无额度 0 NA 0 0 0 0
百度信息流大额 regsourceid=dae041 app 84693792 2018-06-06 纯新 0 NA 0 0 0 1
亿玛dsp app_feature=dae134_1052 app 85199244 2018-06-14 纯新 0 NA 0 0 0 0
资产大额淘钱宝 regsourceid=dae096 app 83728829 2018-05-23 发标未成交 0 NA 0 0 0 1
车主无忧 regsourceid=dae104 app 66866894 2018-05-21 发标未成交 0 NA 0 0 0 0
资产大额M站九格 regsourceid=zcdaejiuge M 85525856 2018-06-16 戳额无额度 0 NA 0 0 0 0
神马SEM大额 regsourceid=daeshenma M 23906332 2018-05-24 发标未成交 0 NA 0 0 0 0
亿玛dsp app_feature=dae133_1052 app 59345266 2018-06-07 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 84631075 2018-06-05 纯新 0 NA 0 0 0 0
今日头条大额 regsourceid=dae254 app 55685126 2018-06-15 发标未成交 0 NA 0 0 0 0
广点通 app_feature=dae182_1052 app 35142850 2018-06-09 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 20216096 2018-05-14 纯新 0 NA 0 0 0 0
百度SEM-MB大额 regsourceid=daebaidumb01 app 78074905 2018-05-28 发标未成交 1 3 0 0 0 0
亿玛dsp app_feature=dae133_1052 app 38780218 2018-06-09 成交 0 NA 0 0 0 0
资产值得借 regsourceid=dae030 app 53619159 2018-05-11 发标未成交 0 NA 0 0 0 0
陌陌信息流大额 regsourceid=dae040 app 23787056 2018-06-10 发标未成交 0 NA 0 0 0 0
亿玛dsp app_feature=dae133_1052 app 34831272 2018-06-20 发标未成交 0 NA 0 0 0 0
资产大额M站菠萝贷 regsourceid=zcdaeboluodai M 50663926 2018-06-12 发标未成交 0 NA 0 0 0 0
广点通 app_feature=dae183_1052 app 81452995 2018-06-10 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae047 app 84561109 2018-06-04 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 83425330 2018-05-18 纯新 0 NA 0 0 0 0
亿玛dsp app_feature=dae140_1052 app 45545319 2018-05-08 发标未成交 0 NA 0 0 0 0
广点通 app_feature=dae182_1052 app 85634921 2018-06-17 纯新 0 NA 0 0 0 0
亿玛dsp app_feature=dae138_1052 app 53058237 2018-06-13 发标未成交 0 NA 0 0 0 0
亿玛dsp app_feature=dae134_1052 app 84553128 2018-06-16 纯新 0 NA 0 0 0 0
百度SEM-MB大额 regsourceid=daebaidumb M 27636669 2018-06-21 发标未成交 0 NA 0 0 0 0
APP资产大额还呗 regsourceid=dae129 app 56882249 2018-06-22 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae046 app 75423739 2018-06-13 发标未成交 1 7 0 0 0 0
亿玛dsp app_feature=dae137_1052 app 60659349 2018-06-10 成交 1 18 0 0 0 0
广点通 regsourceid=dae144 app 49187145 2018-06-13 发标未成交 0 NA 0 0 0 0
搜狗SEM-MB大额 regsourceid=daesgmb M 83920392 2018-05-26 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 82396069 2018-05-14 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 63574746 2018-05-31 发标未成交 0 NA 0 0 0 0
亿玛dsp app_feature=dae134_1052 app 85517957 2018-06-16 纯新 0 NA 0 0 0 1
广点通 regsourceid=dae016 app 83632869 2018-06-04 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 32036059 2018-05-17 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 83696972 2018-05-23 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae046 app 39253152 2018-06-08 发标未成交 0 NA 0 0 0 0
APP资产大额还呗 regsourceid=dae129 app 28964320 2018-06-23 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 63684142 2018-06-04 发标未成交 0 NA 0 0 0 0
百度SEM-MB大额 regsourceid=daebaidumb01 app 72989918 2018-05-11 发标未成交 0 NA 0 0 0 0
今日头条大额 regsourceid=dae257 app 81334321 2018-06-15 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae045 app 82299132 2018-05-31 纯新 0 NA 0 0 0 1
广点通 regsourceid=dae046 app 48382272 2018-05-20 发标未成交 0 NA 0 0 0 0
资产大额M站九格 regsourceid=zcdaejiuge M 7132014 2018-05-11 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae046 app 77492782 2018-06-04 发标未成交 0 NA 0 0 0 0
资产大额淘钱宝 regsourceid=dae096 app 64485674 2018-05-16 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae046 app 84775120 2018-06-07 纯新 0 NA 0 0 0 0
陌陌信息流大额 regsourceid=dae040 app 1784279 2018-06-22 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 37690916 2018-05-26 纯新 0 NA 0 0 0 0
搜狗SEM-MB大额 regsourceid=daesgmb01 app 47303055 2018-06-17 发标未成交 0 NA 0 0 0 0
百度SEM-MB大额 regsourceid=daebaidumb01 app 80863617 2018-05-26 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 85129616 2018-06-12 纯新 0 NA 0 0 0 1
广点通 regsourceid=dae046 app 83678234 2018-05-22 纯新 0 NA 0 0 0 0
APP资产大额51卡宝 regsourceid=dae116 app 47820914 2018-06-10 发标未成交 1 1 0 0 0 0
神马SEM大额 app_feature=dae288_1052 app 84554335 2018-06-18 发标未成交 1 7 0 0 0 0
今日头条大额 regsourceid=dae213 app 84871199 2018-06-18 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 31094188 2018-05-18 纯新 0 NA 0 0 0 0
广点通 app_feature=dae183_1052 app 18824852 2018-06-20 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 42500173 2018-06-11 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae015 app 83299631 2018-05-17 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae015 app 63485466 2018-06-22 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 83572426 2018-06-05 纯新 0 NA 0 0 0 0
搜狗SEM-MB大额 regsourceid=daesgmb01 app 36492333 2018-05-25 发标未成交 1 13 0 0 0 0
广点通 regsourceid=dae012 app 42938763 2018-06-11 发标未成交 1 3 0 0 0 0
神马SEM大额 regsourceid=dae042 app 40264390 2018-06-14 发标未成交 0 NA 0 0 0 0
亿玛dsp app_feature=dae134_1052 app 85797067 2018-06-19 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 84236206 2018-06-22 纯新 0 NA 0 0 0 1
资产大额M站九格 regsourceid=zcdaejiuge M 84890324 2018-06-21 戳额无额度 0 NA 0 0 0 0
神马SEM大额 app_feature=dae288_1052 app 55851250 2018-06-19 纯新 0 NA 0 0 0 0
亿玛dsp app_feature=dae135_1052 app 85721914 2018-06-19 纯新 0 NA 0 0 0 1
广点通 regsourceid=dae054 app 84114834 2018-06-18 纯新 0 NA 0 0 0 0
广点通 app_feature=dae183_1052 app 85993917 2018-06-22 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 37625183 2018-05-20 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae046 app 84249923 2018-05-31 纯新 0 NA 0 0 0 0
广点通 app_feature=dae182_1052 app 75947438 2018-06-17 纯新 0 NA 0 0 0 0
信贷员名单 regsourceid=dae024 app 33993497 2018-05-15 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 82741457 2018-06-07 纯新 0 NA 0 0 0 0
今日头条大额 regsourceid=dae254 app 67080610 2018-06-23 发标未成交 0 NA 0 0 0 0
百度信息流大额 regsourceid=dae041 app 84190277 2018-05-30 纯新 0 NA 0 0 0 0
亿玛dsp app_feature=dae134_1052 app 82054529 2018-05-04 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae015 app 77978100 2018-05-29 纯新 0 NA 0 0 0 0
资产大额M站九格 regsourceid=zcdaejiuge M 78492896 2018-06-09 纯新 0 NA 0 0 0 0
陌陌信息流大额 regsourceid=dae040 app 61500150 2018-06-11 发标未成交 0 NA 0 0 0 0
亿玛dsp app_feature=dae135_1052 app 68400525 2018-06-13 纯新 0 NA 0 0 0 0
今日头条大额 regsourceid=dae261 app 7655334 2018-06-13 纯新 0 NA 0 0 0 0
陌陌大额59 regsourceid=dae294 app 85805251 2018-06-22 纯新 0 NA 0 0 0 0
亿玛dsp app_feature=dae140_1052 app 68844821 2018-06-23 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae045 app 84025934 2018-05-28 纯新 0 NA 0 0 0 1
广点通 regsourceid=dae012 app 85456465 2018-06-15 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 83303733 2018-06-02 发标未成交 0 NA 0 0 0 0
今日头条大额 regsourceid=dae216 app 85666525 2018-06-18 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae010 app 52414030 2018-05-12 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae150 app 85063223 2018-06-10 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 79046150 2018-06-16 纯新 0 NA 0 0 0 0
亿玛dsp app_feature=dae134_1052 app 81935344 2018-06-14 纯新 0 NA 0 0 0 0
APP资产大额还呗 regsourceid=dae129 app 85932523 2018-06-21 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 23143536 2018-05-31 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 36153385 2018-06-18 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae012 app 83852008 2018-06-15 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 84451935 2018-06-03 纯新 0 NA 0 0 0 0
亿玛dsp app_feature=dae134_1052 app 85356361 2018-06-14 纯新 0 NA 0 0 0 1
资产大额M站菠萝贷 regsourceid=zcdaeboluodai M 43639673 2018-05-28 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae058 app 83443142 2018-05-29 发标未成交 0 NA 0 0 0 1
广点通 app_feature=dae181_1052 app 9788505 2018-06-08 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae046 app 84570842 2018-06-04 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae069 app 84338161 2018-06-01 纯新 0 NA 0 0 0 1
广点通 app_feature=dae183_1052 app 16771158 2018-06-22 发标未成交 0 NA 0 0 0 0
今日头条大额 regsourceid=dae261 app 55874760 2018-06-21 发标未成交 0 NA 0 0 0 0
资产大额M站九格 regsourceid=zcdaejiuge M 32484254 2018-05-22 成交 0 NA 0 0 0 0
广点通 app_feature=dae183_1052 app 20359150 2018-06-17 成交 0 NA 0 0 0 0
广点通 regsourceid=dae046 app 31147077 2018-06-08 发标未成交 0 NA 0 0 0 0
百度SEM-MB大额 regsourceid=daebaidumb01 app 70767206 2018-06-06 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae046 app 84068271 2018-05-30 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 84450929 2018-06-08 纯新 0 NA 0 0 0 0
神马SEM大额 regsourceid=dae042 app 85594598 2018-06-17 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 83298408 2018-05-22 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae012 app 81222901 2018-06-14 纯新 0 NA 0 0 0 0
神马SEM大额 regsourceid=daeshenma M 56829339 2018-06-08 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 82129346 2018-06-20 发标未成交 0 NA 0 0 0 0
今日头条大额 regsourceid=dae256 app 85513804 2018-06-19 纯新 0 NA 0 0 0 0
资产大额M站九格 regsourceid=zcdaejiuge M 25717894 2018-06-14 成交 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 26896323 2018-05-28 纯新 0 NA 0 0 0 0
资产大额M站九格 regsourceid=zcdaejiuge M 85608100 2018-06-21 戳额无额度 0 NA 0 0 0 0
陌陌信息流大额 regsourceid=dae319 app 86163337 2018-06-23 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 85488710 2018-06-16 纯新 0 NA 0 0 0 0
陌陌信息流大额 regsourceid=dae040 app 82150991 2018-06-18 发标未成交 0 NA 0 0 0 0
大额优借 regsourceid=dae249 app 33700123 2018-05-30 戳额无额度 0 NA 0 0 0 0
广点通 app_feature=dae181_1052 app 84905612 2018-06-08 纯新 0 NA 0 0 0 1
今日头条大额 regsourceid=dae213 app 71558994 2018-06-16 发标未成交 0 NA 0 0 0 0
搜狗SEM-MB大额 regsourceid=daesgmb M 70785046 2018-05-23 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae012 app 85234822 2018-06-13 纯新 0 NA 0 0 0 0
广点通 app_feature=dae184_1052 app 82115929 2018-06-19 戳额无额度 0 NA 0 0 0 0
百度SEM-MB大额 regsourceid=daebaidumb M 84641218 2018-06-17 戳额无额度 0 NA 0 0 0 1
广点通 regsourceid=dae016 app 83223249 2018-05-15 纯新 0 NA 0 0 0 0
亿玛dsp app_feature=dae133_1052 app 59214629 2018-06-07 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae010 app 32609664 2018-05-11 发标未成交 0 NA 0 0 0 0
陌陌信息流大额 regsourceid=dae040 app 85207979 2018-06-12 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae012 app 19709699 2018-06-18 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae012 app 84793111 2018-06-21 纯新 0 NA 0 0 0 0
今日头条大额 regsourceid=dae254 app 61852424 2018-06-23 发标未成交 0 NA 0 0 0 0
资产大额九格网络 regsourceid=dae100 app 9621494 2018-05-15 发标未成交 0 NA 0 0 0 0
大额优借 regsourceid=dae249 app 80595106 2018-06-11 发标未成交 0 NA 0 0 0 1
陌陌信息流大额 regsourceid=dae040 app 16850045 2018-06-21 发标未成交 0 NA 0 0 0 0
亿玛dsp app_feature=dae135_1052 app 86104812 2018-06-23 纯新 0 NA 0 0 0 0
神马SEM大额 regsourceid=daeshenma M 85199868 2018-06-19 纯新 0 NA 0 0 0 0
今日头条大额 regsourceid=dae256 app 85395930 2018-06-14 纯新 0 NA 0 0 0 0
大额钱院 regsourceid=daeqianyuan M 55101161 2018-06-20 成交 0 NA 0 0 0 0
广点通 regsourceid=dae065 app 84713507 2018-06-08 纯新 0 NA 0 0 0 0
亿玛dsp app_feature=dae135_1052 app 18473774 2018-05-11 发标未成交 0 NA 0 0 0 0
广点通 regsourceid=dae016 app 77504487 2018-05-23 发标未成交 0 NA 0 0 0 0
