sourcename sourcefeature sourcetype userid first_login_time first_login_usertype chuo_status first_chuo_bin youe_status fb_status cj_status allcj_status
亿玛dsp regsourceid=dae120 app 57499310 2018-06-20 发标未成交 1 1 0 0 0 0
运营短信营销 regsourceid=dae112 app 78675155 2018-06-16 有额未发标 1 1 0 0 0 0
亿玛dsp app_feature=dae138_1052 app 68657412 2018-06-13 发标未成交 1 5 0 0 0 1
百度SEM-MB大额 regsourceid=daebaidumb01 app 60118436 2018-06-04 发标未成交 1 16 0 0 0 0
亿玛dsp app_feature=dae133_1052 app 52743442 2018-06-06 发标未成交 1 8 0 0 0 0
百度SEM-MB大额 regsourceid=daebaidumb01 app 73303232 2018-06-11 发标未成交 1 13 0 0 0 0
资产大额万谋数据 regsourceid=dae277 app 67638121 2018-06-12 发标未成交 1 1 0 0 0 0
百度信息流大额 regsourceid=dae041 app 45807505 2018-05-29 发标未成交 1 16 0 0 0 0
百度信息流大额 regsourceid=dae041 app 54190199 2018-05-12 发标未成交 0 NA 0 0 0 0
资产大额万谋数据 regsourceid=dae277 app 71370254 2018-06-13 发标未成交 1 6 0 0 0 0
亿玛dsp app_feature=dae138_1052 app 53598948 2018-06-03 成交 1 15 0 0 0 0
广点通 regsourceid=dae061 app 85003064 2018-06-11 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae054 app 35791769 2018-06-13 发标未成交 1 16 0 0 0 0
百度SEM-MB大额 regsourceid=daebaidumb M 26220830 2018-06-21 发标未成交 1 18 0 0 0 0
亿玛dsp app_feature=dae135_1052 app 25460647 2018-06-16 发标未成交 1 6 0 0 0 0
今日头条大额 regsourceid=dae257 app 85649753 2018-06-18 纯新 1 8 0 0 0 0
资产大额M站菠萝贷 regsourceid=zcdaeboluodai M 77852118 2018-05-20 发标未成交 1 3 1 1 1 1
广点通 regsourceid=dae012 app 83918468 2018-05-26 纯新 1 2 0 0 0 0
广点通 regsourceid=dae012 app 74887025 2018-06-21 发标未成交 1 3 0 0 0 0
今日头条大额 regsourceid=dae242 app 40151188 2018-06-18 成交 1 12 0 0 0 0
APP资产大额还呗 regsourceid=dae129 app 24549682 2018-06-16 发标未成交 1 5 0 0 0 0
陌陌信息流大额 regsourceid=dae040 app 75576271 2018-06-19 纯新 1 7 0 0 0 0
广点通 regsourceid=dae016 app 83848048 2018-06-13 纯新 1 7 0 0 0 1
广点通 regsourceid=dae046 app 30421928 2018-05-22 发标未成交 1 16 0 0 0 0
广点通 regsourceid=dae167 app 25468695 2018-06-18 发标未成交 1 2 0 0 0 0
亿玛dsp app_feature=dae134_1052 app 4950211 2018-06-18 发标未成交 1 1 0 0 0 0
广点通 app_feature=dae184_1052 app 85256741 2018-06-19 纯新 1 7 0 0 0 0
今日头条大额 regsourceid=dae254 app 85057977 2018-06-12 纯新 1 7 0 0 0 0
信贷员名单 regsourceid=dae024 app 83579015 2018-05-21 纯新 1 12 0 0 0 0
资产大额万谋数据 regsourceid=dae277 app 19169021 2018-06-14 发标未成交 1 2 0 0 0 0
广点通 regsourceid=dae069 app 29367389 2018-06-01 发标未成交 1 3 0 0 0 1
搜狗SEM-MB大额 regsourceid=daesgmb01 app 22217495 2018-06-20 发标未成交 1 15 0 0 0 0
广点通 app_feature=dae182_1052 app 54260696 2018-06-11 发标未成交 1 7 0 0 0 1
百度信息流大额 regsourceid=dae041 app 39889781 2018-06-05 发标未成交 1 1 0 0 0 0
亿玛dsp app_feature=dae138_1052 app 78959767 2018-06-13 发标未成交 1 4 0 0 0 1
广点通 regsourceid=dae046 app 79552369 2018-06-19 纯新 1 2 1 0 0 0
广点通 regsourceid=dae012 app 74799363 2018-06-14 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae046 app 23468485 2018-05-27 发标未成交 1 20 0 0 0 0
神马SEM大额 regsourceid=daeshenma M 72510560 2018-06-01 戳额无额度 1 9 0 0 0 1
广点通 regsourceid=dae016 app 67827372 2018-05-22 发标未成交 1 20 0 0 0 0
亿玛dsp app_feature=dae134_1052 app 66565149 2018-06-19 戳额无额度 1 3 1 1 0 0
运营短信营销 regsourceid=dae112 app 69047330 2018-06-08 有额未发标 1 3 0 0 0 0
今日头条大额 regsourceid=dae257 app 29203193 2018-06-16 发标未成交 1 4 0 0 0 0
广点通 regsourceid=dae065 app 46273867 2018-06-13 发标未成交 1 3 0 0 0 0
广点通 regsourceid=dae016 app 59094279 2018-05-31 发标未成交 1 14 0 0 0 0
广点通 regsourceid=dae016 app 73106239 2018-06-10 发标未成交 1 9 0 0 0 0
广点通 regsourceid=dae012 app 85887178 2018-06-21 纯新 1 1 1 1 1 1
广点通 regsourceid=dae016 app 73605704 2018-05-21 纯新 1 3 0 0 0 1
广点通 app_feature=dae184_1052 app 17538867 2018-06-15 有额未发标 1 12 0 0 0 0
广点通 regsourceid=dae016 app 19711784 2018-06-11 发标未成交 1 13 0 0 0 0
亿玛dsp regsourceid=dae120 app 58655084 2018-06-11 成交 1 7 0 0 0 0
资产大额M站九格 regsourceid=zcdaejiuge M 75592677 2018-06-06 发标未成交 1 6 0 0 0 1
亿玛dsp app_feature=dae135_1052 app 31947658 2018-06-10 发标未成交 1 14 0 0 0 0
广点通 regsourceid=dae015 app 9864371 2018-05-17 发标未成交 1 15 0 0 0 0
广点通 app_feature=dae183_1052 app 37671294 2018-06-13 纯新 1 10 0 0 0 0
资产大额M站九格 regsourceid=zcdaejiuge M 82125213 2018-05-22 戳额无额度 1 5 0 0 0 0
广点通 regsourceid=dae015 app 80997964 2018-05-17 发标未成交 1 2 0 0 0 1
广点通 regsourceid=dae016 app 25457394 2018-05-30 发标未成交 1 6 1 1 1 1
广点通 regsourceid=dae065 app 71928852 2018-06-06 纯新 0 NA 0 0 0 0
广点通 app_feature=dae182_1052 app 18990457 2018-06-09 发标未成交 1 15 0 0 0 0
广点通 app_feature=dae183_1052 app 80704738 2018-06-22 发标未成交 0 NA 0 0 0 0
资产大额M站九格 regsourceid=zcdaejiuge M 66414290 2018-06-06 发标未成交 1 20 0 0 0 0
百度信息流大额 regsourceid=dae041 app 77486234 2018-05-07 发标未成交 1 19 0 0 0 0
百度SEM-MB大额 regsourceid=daebaidumb01 app 17115654 2018-05-26 成交 1 6 0 0 0 0
今日头条大额 regsourceid=dae440 app 7105519 2018-06-22 发标未成交 1 14 0 0 0 0
广点通 regsourceid=dae016 app 84573794 2018-06-04 纯新 0 NA 0 0 0 0
陌陌信息流大额 regsourceid=dae040 app 83025014 2018-06-13 纯新 0 NA 0 0 0 0
广点通 regsourceid=dae061 app 48395931 2018-06-19 纯新 0 NA 0 0 0 0
百度SEM-MB大额 regsourceid=daebaidumb01 app 27636096 2018-06-16 发标未成交 1 16 0 0 0 0
广点通 app_feature=dae184_1052 app 76561967 2018-05-12 戳额无额度 1 4 0 0 0 0
广点通 regsourceid=dae006 app 66435520 2018-05-13 发标未成交 1 2 1 1 0 0
广点通 app_feature=dae183_1052 app 82541769 2018-05-15 戳额无额度 1 16 0 0 0 0
广点通 regsourceid=dae046 app 56038991 2018-06-18 发标未成交 1 4 0 0 0 0
陌陌信息流大额 regsourceid=dae040 app 85896462 2018-06-21 纯新 1 16 0 0 0 0
搜狗SEM-MB大额 regsourceid=daesgmb01 app 46581607 2018-06-08 发标未成交 1 18 0 0 0 0
资产大额万谋数据 regsourceid=dae277 app 81948371 2018-06-23 戳额无额度 1 1 0 0 0 1
亿玛dsp app_feature=dae139_1052 app 62559590 2018-06-22 发标未成交 1 3 0 0 0 0
APP资产大额51卡宝 regsourceid=dae116 app 36215115 2018-06-08 发标未成交 1 2 1 1 1 1
资产大额M站闪电公积金 regsourceid=zcdaeshandiangongjijin M 72924072 2018-05-30 发标未成交 1 14 0 0 0 0
广点通 regsourceid=dae015 app 58416726 2018-05-29 成交 1 17 0 0 0 0
资产大额万谋数据 regsourceid=dae277 app 85160106 2018-06-11 纯新 0 NA 0 0 0 0
资产大额M站省呗2 regsourceid=zcdashengbeisamoye M 82520057 2018-05-25 发标未成交 1 2 0 0 0 0
资产大额91.汇借钱 regsourceid=dae110 app 60560791 2018-05-22 发标未成交 1 1 0 0 0 0
广点通 app_feature=dae183_1052 app 9540655 2018-06-17 发标未成交 1 2 0 0 0 0
亿玛dsp regsourceid=dae126 app 85765018 2018-06-19 纯新 1 11 0 0 0 0
广点通 app_feature=dae183_1052 app 86016117 2018-06-22 纯新 1 14 0 0 0 1
广点通 app_feature=dae183_1052 app 9199261 2018-06-22 发标未成交 1 17 0 0 0 0
广点通 regsourceid=dae016 app 74591998 2018-05-27 发标未成交 1 1 0 0 0 0
广点通 regsourceid=dae050 app 15978735 2018-06-09 发标未成交 1 11 0 0 0 0
亿玛dsp app_feature=dae136_1052 app 49616238 2018-06-13 发标未成交 1 18 0 0 0 0
广点通 regsourceid=dae012 app 69500376 2018-06-11 发标未成交 1 2 1 0 0 0
