app_line m_line app_line1 m_line1 app m app1 m1
6.52432815095162 NA 5 NA 6.52432815095162 NA 5 NA
3.12913518968009 3.56857523302264 3 4 3.12913518968009 3.56857523302264 3 4
53.8608909538125 54.6383566903436 56 56 53.8608909538125 54.6383566903436 56 56
-565.336610373944 -552.244077744227 -561 -541 565.336610373944 552.244077744227 561 541
-638.775890467085 -635.550345067968 -638.76 -639.04 638.775890467085 635.550345067968 638.76 639.04
28.4319194902508 26.449012109624 25 22 28.4319194902508 26.449012109624 25 22
1.98463024282561 2.04791018230325 0 0 1.98463024282561 2.04791018230325 0 0
1.15670529801325 1.18775011116052 0 0 1.15670529801325 1.18775011116052 0 0
4.78122362294769 0.153244362632306 2 0 4.78122362294769 0.153244362632306 2 0
1.36481390964318 1.56857942617215 0 0 1.36481390964318 1.56857942617215 0 0
-38915.8592870544 -38599.5945945946 -23000 -28000 38915.8592870544 38599.5945945946 23000 28000
-54228.2447800977 -58499.2826086957 -20000 -13700 54228.2447800977 58499.2826086957 20000 13700
-7.59333958724203 -7.43243243243243 -6 -5 7.59333958724203 7.43243243243243 6 5
261.107186083874 293.106020797393 0 0 261.107186083874 293.106020797393 0 0
3561.92026720458 1853.65 1535 675.5 3561.92026720458 1853.65 1535 675.5
7383.28584995252 8365.08571428571 3571.5 1737 7383.28584995252 8365.08571428571 3571.5 1737
2.72032341051084 3.32 2 2.5 2.72032341051084 3.32 2 2.5
0.103886925795053 0.470588235294118 0 0 0.103886925795053 0.470588235294118 0 0
0.109893992932862 0.0196078431372549 0 0 0.109893992932862 0.0196078431372549 0 0
1.02618282039504 0.894736842105263 0 0 1.02618282039504 0.894736842105263 0 0
