sourcename num edu usertype citylevel bin rbin tc jd um cmax omax pre bo td1 td2 zx1 def zx2 qudao_type
资产大额M站分销联盟 1700 0.0258823529411765 0.505294117647059 0.261176470588235 0.141764705882353 0 0.0418138987043581 0.110582639714625 0.167630057803468 0.221848739495798 0.253781512605042 0.13 0.825294117647059 0.546379413524835 0.991755005889282 0.292253521126761 0.813829787234043 0.527731092436975 M
资产大额M站九格 659 0.047040971168437 0.471927162367223 0.204855842185129 0.12443095599393 0.285714285714286 0.0257966616084977 0.116847826086957 0.16722972972973 0.22289156626506 0.409638554216867 0.176024279210926 0.783004552352049 0.621329211746522 0.995447647951442 0.475 0.73015873015873 0.512048192771084 M
资产大额M站卡牛 939 0.0287539936102236 0.411075612353568 0.308839190628328 0.19062832800852 0.2 0.0698174006444683 0.198148148148148 0.250855188141391 0.2875 0.3175 0.159744408945687 0.835995740149095 0.493589743589744 0.980830670926518 0.251295336787565 0.803191489361702 0.5425 M
资产大额M站秒到科技 70 0.0285714285714286 0.757142857142857 0.328571428571429 0.185714285714286 NA 0.0428571428571429 0.125 0.17741935483871 0.192307692307692 0.153846153846154 0.0428571428571429 0.871428571428571 0.686567164179104 1 0.333333333333333 0.818181818181818 0.538461538461538 M
资产大额M站融翔科技 144 0.0833333333333333 0.388888888888889 0.305555555555556 0.194444444444444 NA 0.0416666666666667 0.0810810810810811 0.328125 0.4 0.44 0.145833333333333 0.965277777777778 0.535714285714286 0.979166666666667 0.25 0.666666666666667 0.52 M
资产大额M站瑞萨斯 752 0.0132978723404255 0.57313829787234 0.327127659574468 0.117021276595745 0 0.0425531914893617 0.109090909090909 0.146341463414634 0.181268882175227 0.317220543806647 0.163563829787234 0.82313829787234 0.55195681511471 0.996010638297872 0.220820189274448 0.838323353293413 0.504531722054381 M
资产大额M站闪电公积金 189 0.121693121693122 0.365079365079365 0.259259259259259 0.148148148148148 0.666666666666667 0.0476190476190476 0.128205128205128 0.182857142857143 0.369230769230769 0.446153846153846 0.53968253968254 0.671957671957672 0.505376344086022 0.994708994708995 0.238095238095238 0.720588235294118 0.523076923076923 M
资产大额M站省呗2 71 0 0.366197183098592 0.23943661971831 0.126760563380282 0 0.0563380281690141 0.225 0.205882352941176 0.09375 0.15625 0.0985915492957746 0.788732394366197 0.549295774647887 1 0.258064516129032 0.857142857142857 0.40625 M
资产大额贷服务号 545 0.0293577981651376 0.326605504587156 0.255045871559633 0.157798165137615 0.363636363636364 0.0553505535055351 0.156739811912226 0.197183098591549 0.192771084337349 0.307228915662651 0.115596330275229 0.711926605504587 0.594040968342644 0.988990825688073 0.345679012345679 0.746113989637306 0.536144578313253 M
资产大额顶效M站 479 0.0146137787056367 0.588726513569937 0.367432150313152 0.0730688935281837 0 0.0188284518828452 0.1015625 0.129840546697039 0.0425531914893617 0.099290780141844 0.0897703549060543 0.826722338204593 0.636363636363636 1 0.371212121212121 0.831775700934579 0.340425531914894 M
